399,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
399,"t","Principal Vegetable Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value  by Crop – United States: 2017-2019 (continued)"
399,"h","","","","","","",""
399,"h","","Price per cwt","Price per cwt","Price per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
399,"h","Crop","","","","","",""
399,"h","","2017","2018","2019","2017","2018","2019"
399,"h","","","","","","",""
399,"u","","(dollars)","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
399,"d","Artichokes (California)",70.00,63.00,78.00,65520,63032,78624
399,"d","Asparagus",120.00,113.00,136.00,100672,87584,99915
399,"d","Beans, green lima 1/",29.10,31.90,"(NA)",19493,21622,"(NA)"
399,"d","Beans, snap",19.40,20.60,18.30,349445,351909,303480
399,"d","Broccoli",45.40,42.80,50.00,925716,738527,872629
399,"d","Cabbage",18.10,21.20,24.00,431307,408091,518920
399,"d","Cantaloupes",19.20,22.70,23.90,295975,331542,303387
399,"d","Carrots",22.50,16.00,17.30,696129,732946,863518
399,"d","Cauliflower",45.90,45.80,46.30,415737,434491,465879
399,"d","Celery",20.10,25.00,30.20,322047,436818,474711
399,"d","",,,,,,
399,"d","Corn, sweet",11.80,11.80,10.40,892179,864064,652057
399,"d","Cucumbers",20.80,20.90,18.70,392013,322999,278794
399,"d","Garlic (California)",76.30,78.90,78.20,390021,412587,327277
399,"d","Honeydews (California)",28.00,19.60,20.90,94192,75342,59157
399,"d","Lettuce, head",35.90,30.10,47.30,1774522,1219857,1960149
399,"d","Lettuce, leaf",60.90,51.80,52.20,833077,555982,650424
399,"d","Lettuce, romaine",44.80,31.00,32.40,1628136,901186,880826
399,"d","Onions",12.90,12.50,14.60,1042090,886941,1001986
399,"d","Pea, green",14.20,12.80,13.50,85475,64901,67798
399,"d","Peppers, bell",44.10,41.50,46.10,625577,533307,557660
399,"d","",,,,,,
399,"d","Peppers, chile",34.00,35.60,38.80,113562,94767,63711
399,"d","Pumpkins",12.60,12.90,13.60,196541,195445,180190
399,"d","Spinach",58.20,51.30,54.80,470860,415671,526770
399,"d","Squash",29.60,26.60,31.50,235613,192922,219961
399,"d","Sweet potatoes 2/ 4/",18.40,23.20,18.50,657021,634228,588125
399,"d","Tomatoes",6.99,6.76,6.73,1677960,1863915,1600307
399,"d","Watermelons",14.70,16.90,15.30,594033,663435,560924
399,"d","",,,,,,
399,"d","Total 3/","(X)","(X)","(X)",14667892,12869883,14157179
399,"c",""
399,"f","-  Represents zero."
399,"f","(NA)  Not available."
399,"f","(X)  Not applicable."
399,"f","1/ Estimates discontinued in 2019."
399,"f","2/ Sweet potatoes added to vegetable program in 2019."
399,"f","3/ Sweet potatoes were added to the vegetable program in 2019, therefore crops do not add to the total for 2017 and 2018."
399,"f","4/ Estimates for harvested not sold and utilized production began in 2019. Price and value in 2017 and 2018 represent total production."
